"HSMP_INNB","PNU","LNNO_ADRES","POTVALE_IFRA_HSMP_NM","DONG_CNT","NMHSH","USE_APRV_YMD","DRTS_CASCNT","BKAG_CASCNT","DRTS_RATE","BKAG_RATE","PCPP","OLYR_PCPP","SMLYC_PCPP"
"11110100000016","1111013300100300006","서울특별시 종로구 익선동 30-6","운현신화타워",1,64,"1998-03-11",0,1,0,1,31923076.923077,28620689.655172,
"11110100000026","1111017100100040000","서울특별시 종로구 명륜2가 4","아남1",3,436,"1995-12-22",0,2,0,1,42634615.384615,44626696.832579,46538461.538462
"11110100000027","1111017100102370000","서울특별시 종로구 명륜2가 237","명륜동주상복합아남아파트",1,136,"1999-01-30",0,1,0,1,53846153.846154,50000000,
"11110100000031","1111017400103280017","서울특별시 종로구 창신동 328-17","동대문",1,131,"1966-03-16",0,1,0,1,35222222.222222,43833333.333333,43222222.222222
"11110100000039","1111017400107020000","서울특별시 종로구 창신동 702","창신쌍용1",5,585,"1992-11-25",0,1,0,1,37647058.823529,34572415.329768,36764705.882353
"11110100000056","1111018100100410001","서울특별시 종로구 행촌동 41-1","대성아파트",2,64,"1971-11-13",0,1,0,1,30000000,20172413.793103,
"11110100000077","1111018300105960000","서울특별시 종로구 평창동 596","삼성",2,176,"1998-05-02",0,1,0,1,38333333.333333,35245726.495726,
"11110100000090","1111018600102540000","서울특별시 종로구 신영동 254","대아파크빌",1,67,"1998-07-07",0,2,0,1,25192307.692308,,
"11110100000094","1111018700100820000","서울특별시 종로구 무악동 82","현대",12,964,"2000-10-21",0,3,0,1,51130199.430199,47364368.224368,
"11110100050202","1111017400107030000","서울특별시 종로구 창신동 703","창신쌍용2",7,919,"1993-10-12",0,5,0,1,29929359.243697,29070188.663701,30500000
"11110100051191","1111013300100550000","서울특별시 종로구 익선동 55","현대뜨레비앙",1,291,"2003-11-29",0,1,0,1,29333333.333333,29383739.13668,29630443.630444
"11110100248194","1111011800100730000","서울특별시 종로구 내수동 73","경희궁의아침4단지",1,120,"2004-05-17",0,1,0,1,50263157.894737,48833211.982525,
"11110100256532","1111017500100760000","서울특별시 종로구 숭인동 76","롯데캐슬천지인",2,220,"2004-09-09",0,2,0,1,37692307.692308,37707390.648567,40769230.769231
"11110100256585","1111017400106010001","서울특별시 종로구 창신동 601-1","MID그린(2동)",1,19,"2002-12-30",0,1,0,1,26470588.235294,,
"11110120085968","1111011500100090000","서울특별시 종로구 사직동 9","광화문스페이스본(101동~105동)",5,657,"2008-07-11",0,2,0,1,48254573.170732,47788838.005841,
"11110120090893","1111018700100600000","서울특별시 종로구 무악동 60","인왕산아이파크",17,810,"2008-07-25",0,4,0,1,48895566.239316,47749715.099715,51153846.153846
"11110120096301","1111017500100020001","서울특별시 종로구 숭인동 2-1","종로센트레빌",6,416,"2008-11-21",0,2,0,1,48055555.555556,42699023.199023,
"11110120113622","1111017500107660000","서울특별시 종로구 숭인동 766","종로청계힐스테이트",6,288,"2009-03-20",0,1,0,1,40000000,40693559.218559,38461538.461538
"11110120125020","1111018300100660001","서울특별시 종로구 평창동 66-1","엘리시아",1,19,"2009-12-15",1,0,1,0,16393442.622951,18065343.258892,
"11110120173251","1111017500102010011","서울특별시 종로구 숭인동 201-11","종로유케이201",1,74,"2013-03-06",0,1,0,1,22000000,22250000,
"11110120177603","1111017500102020003","서울특별시 종로구 숭인동 202-3","종로중흥S클래스",1,144,"2013-05-16",0,1,0,1,20833333.333333,22539583.333333,
"11110120347328","1111016200100650002","서울특별시 종로구 효제동 65-2","포레스트힐시티",1,152,"2017-01-20",0,1,0,1,30166666.666667,28333333.333333,
"11110120348218","1111017900101990000","서울특별시 종로구 홍파동 199","경희궁자이(2단지)",14,1148,"2017-02-24",0,1,0,1,94230769.230769,83181260.303956,79829059.82906
"11110120348219","1111017700102330000","서울특별시 종로구 평동 233","경희궁자이(3단지)",8,589,"2017-02-24",0,3,0,1,95669515.669516,81584659.59328,81217948.717949
"11110120356297","1111018000101260000","서울특별시 종로구 교북동 126","경희궁자이(4단지)",3,182,"2017-06-29",0,2,0,1,79090909.090909,76622294.372294,77785714.285714
"11110120392231","1111018200101250005","서울특별시 종로구 구기동 125-5","마운틴뷰",1,28,"2019-07-03",0,1,0,1,24772727.272727,26500271.73913,25521739.130435
"11140100000095","1114011200102050044","서울특별시 중구 남창동 205-44","경서",1,45,"1970-03-01",0,1,0,1,22941176.470588,23181818.181818,
"11140100000109","1114013600100110067","서울특별시 중구 묵정동 11-67","묵정",1,122,"1981-05-25",0,2,0,1,28281250,31187500,
"11140100000110","1114013600100110002","서울특별시 중구 묵정동 11-2","충무",1,70,"1982-04-03",0,1,0,1,34761904.761905,31250000,
"11140100000114","1114014300101050001","서울특별시 중구 장충동1가 105-1","장충동라임카운티",1,18,"2000-12-15",0,2,0,1,36621621.621622,,
"11140100000121","1114016300100030004","서울특별시 중구 흥인동 3-4","우일타운",1,86,"1994-07-08",0,1,0,1,27619047.619048,30380952.380952,
"11140100000123","1114016200108440000","서울특별시 중구 신당동 844","남산타운",35,3116,"2002-05-25",0,15,0,1,53135490.43549,49277540.526321,51498168.498168
"11140100000127","1114016200108430000","서울특별시 중구 신당동 843","삼성",14,994,"1999-12-22",0,4,0,1,51099358.974359,45688988.970956,48493284.493284
"11140100000128","1114016200108460000","서울특별시 중구 신당동 846","신당동파라다이스",1,132,"2000-07-10",0,2,0,1,35961538.461538,35167735.042735,
"11140100000132","1114016200108420000","서울특별시 중구 신당동 842","약수하이츠",16,1598,"1999-07-29",0,10,0,1,51362895.927602,48885196.421226,47432692.307692
"11140100000135","1114016200108400000","서울특별시 중구 신당동 840","현대",10,942,"1993-09-17",0,5,0,1,35513095.238095,36201852.07529,
"11140100000141","1114016200104320657","서울특별시 중구 신당동 432-657","명경",1,15,"2002-02-18",0,1,0,1,19277777.777778,19722222.222222,19722222.222222
"11140100000146","1114017100102000000","서울특별시 중구 중림동 200","삼성사이버빌리지",12,712,"2001-07-11",0,1,0,1,56346153.846154,54735415.818749,48461538.461538
"11140120029571","1114016200108500000","서울특별시 중구 신당동 850","신당푸르지오",9,461,"2005-12-28",0,1,0,1,27954545.454545,44070240.146327,46814814.814815
"11140120059611","1114016800102150000","서울특별시 중구 순화동 215","바비엥3",1,84,"2006-09-29",0,1,0,1,28571428.571429,28813775.510204,
"11140120064716","1114016200108450000","서울특별시 중구 신당동 845","한진해모로",3,254,"2001-06-18",0,3,0,1,45648148.148148,38812576.312576,45277777.777778
