"HSMP_INNB"|"PNU"|"LNNO_ADRES"|"POTVALE_IFRA_HSMP_NM"|"DONG_CNT"|"NMHSH"|"USE_APRV_YMD"|"DRTS_CASCNT"|"BKAG_CASCNT"|"DRTS_RATE"|"BKAG_RATE"|"PCPP"|"OLYR_PCPP"|"SMLYC_PCPP"
"11110100000013"|"1111011700101000000"|"서울특별시 종로구 당주동 100"|"세종"|1|72|"1983-06-10"|0|1|0|1|31428571.428571||
"11110100000026"|"1111017100100040000"|"서울특별시 종로구 명륜2가 4"|"아남1"|3|436|"1995-12-22"|0|1|0|1|41346153.846154|44626696.832579|42692307.692308
"11110100000031"|"1111017400103280017"|"서울특별시 종로구 창신동 328-17"|"동대문"|1|131|"1966-03-16"|0|1|0|1|41111111.111111|43833333.333333|
"11110100000035"|"1111017400102320000"|"서울특별시 종로구 창신동 232"|"두산"|3|529|"1999-04-30"|0|3|0|1|44616809.116809|41547008.547009|44444444.444444
"11110100000039"|"1111017400107020000"|"서울특별시 종로구 창신동 702"|"창신쌍용1"|5|585|"1992-11-25"|0|2|0|1|34284313.72549|34572415.329768|
"11110100000052"|"1111017500102040011"|"서울특별시 종로구 숭인동 204-11"|"숭인상가"|1|109|"1979-10-22"|0|1|0|1|25416666.666667|24895833.333333|
"11110100000055"|"1111018000101010000"|"서울특별시 종로구 교북동 101"|"동아"|1|48|"1995-11-10"|0|1|0|1|31653846.153846||
"11110100000056"|"1111018100100410001"|"서울특별시 종로구 행촌동 41-1"|"대성아파트"|2|64|"1971-11-13"|1|1|0.5|0.5|22825670.498084|20172413.793103|
"11110100000075"|"1111018300100720000"|"서울특별시 종로구 평창동 72"|"롯데낙천대"|3|156|"2001-04-30"|0|1|0|1|35454545.454545|28250000|
"11110100000077"|"1111018300105960000"|"서울특별시 종로구 평창동 596"|"삼성"|2|176|"1998-05-02"|0|2|0|1|31730769.230769|35245726.495726|
"11110100000081"|"1111018300101450005"|"서울특별시 종로구 평창동 145-5"|"일성빌라트"|2|60|"1996-12-27"|0|1|0|1|26923076.923077|27115384.615385|
"11110100000093"|"1111018600101050022"|"서울특별시 종로구 신영동 105-22"|"구암하이빌"|1|18|"2002-11-28"|0|1|0|1|18076923.076923||
"11110100000094"|"1111018700100820000"|"서울특별시 종로구 무악동 82"|"현대"|12|964|"2000-10-21"|0|7|0|1|50089010.989011|47364368.224368|44505151.098901
"11110100050202"|"1111017400107030000"|"서울특별시 종로구 창신동 703"|"창신쌍용2"|7|919|"1993-10-12"|1|6|0.142857|0.857143|29315561.22449|29070188.663701|28354166.666667
"11110100051191"|"1111013300100550000"|"서울특별시 종로구 익선동 55"|"현대뜨레비앙"|1|291|"2003-11-29"|0|1|0|1|33200000|29383739.13668|28282051.282051
"11110100248193"|"1111011800100720000"|"서울특별시 종로구 내수동 72"|"경희궁의아침3단지"|1|150|"2004-05-17"|0|1|0|1|55135135.135135|45847142.466503|46956521.73913
"11110100248201"|"1111016800100040161"|"서울특별시 종로구 동숭동 4-161"|"동성아파트(1동)"|1|19|"1999-08-25"|0|1|0|1|23066666.666667||
"11110100256532"|"1111017500100760000"|"서울특별시 종로구 숭인동 76"|"롯데캐슬천지인"|2|220|"2004-09-09"|0|2|0|1|39038461.538462|37707390.648567|
"11110120043521"|"1111018400102350002"|"서울특별시 종로구 부암동 235-2"|"별빛고운"|1|12|"2006-06-05"|0|2|0|1|22258064.516129||
"11110120085968"|"1111011500100090000"|"서울특별시 종로구 사직동 9"|"광화문스페이스본(101동~105동)"|5|657|"2008-07-11"|0|12|0|1|47771738.292407|47788838.005841|45010282.021152
"11110120090893"|"1111018700100600000"|"서울특별시 종로구 무악동 60"|"인왕산아이파크"|17|810|"2008-07-25"|0|18|0|1|48824080.857414|47749715.099715|49294871.794872
"11110120096301"|"1111017500100020001"|"서울특별시 종로구 숭인동 2-1"|"종로센트레빌"|6|416|"2008-11-21"|0|5|0|1|43384249.084249|42699023.199023|47222222.222222
"11110120141908"|"1111018300101790005"|"서울특별시 종로구 평창동 179-5"|"밀레니엄"|1|19|"2017-03-02"|0|1|0|1|20161290.322581|28000000|
"11110120177603"|"1111017500102020003"|"서울특별시 종로구 숭인동 202-3"|"종로중흥S클래스"|1|144|"2013-05-16"|0|1|0|1|24000000|22539583.333333|21666666.666667
"11110120180930"|"1111017500114210001"|"서울특별시 종로구 숭인동 1421-1"|"종로동광모닝스카이"|1|80|"2013-06-27"|0|1|0|1|21000000|21925000|
"11110120284458"|"1111016600101950010"|"서울특별시 종로구 연건동 195-10"|"이화에수풀"|1|120|"2014-01-06"|0|2|0|1|38000000|35714285.714286|36000000
"11110120329931"|"1111016000101630003"|"서울특별시 종로구 연지동 163-3"|"아르젠종로"|1|27|"2015-12-15"|0|1|0|1|38750000||
"11110120334543"|"1111018700100880000"|"서울특별시 종로구 무악동 88"|"인왕산2차아이파크"|5|167|"2015-08-28"|0|1|0|1|48800000|46364102.564103|47092307.692308
"11110120348218"|"1111017900101990000"|"서울특별시 종로구 홍파동 199"|"경희궁자이(2단지)"|14|1148|"2017-02-24"|0|10|0|1|95262158.808933|83181260.303956|82197530.864198
"11110120348219"|"1111017700102330000"|"서울특별시 종로구 평동 233"|"경희궁자이(3단지)"|8|589|"2017-02-24"|0|8|0|1|94375000|81584659.59328|81615918.803419
"11110120356297"|"1111018000101260000"|"서울특별시 종로구 교북동 126"|"경희궁자이(4단지)"|3|182|"2017-06-29"|0|6|0|1|82154761.904762|76622294.372294|77045454.545455
"11110120400214"|"1111018700100890000"|"서울특별시 종로구 무악동 89"|"경희궁롯데캐슬"|4|195|"2019-06-21"|0|2|0|1|65576923.076923|63792735.042735|
"11140100000095"|"1114011200102050044"|"서울특별시 중구 남창동 205-44"|"경서"|1|45|"1970-03-01"|0|1|0|1|28181818.181818|23181818.181818|
"11140100000103"|"1114012100101460001"|"서울특별시 중구 회현동1가 146-1"|"삼풍"|1|118|"1975-12-30"|0|2|0|1|22380952.380952|25000000|
"11140100000107"|"1114013200101200003"|"서울특별시 중구 충무로4가 120-3"|"진양상가"|1|282|"1970-05-23"|0|1|0|1|27242424.242424|28505521.0594|
"11140100000108"|"1114013400101920030"|"서울특별시 중구 인현동2가 192-30"|"인현상가/신성아파트"|1|168|"1968-05-30"|0|1|0|1|28062500|26796441.653585|
"11140100000109"|"1114013600100110067"|"서울특별시 중구 묵정동 11-67"|"묵정"|1|122|"1981-05-25"|0|1|0|1|33125000|31187500|31125000
"11140100000114"|"1114014300101050001"|"서울특별시 중구 장충동1가 105-1"|"장충동라임카운티"|1|18|"2000-12-15"|1|0|1|0|40540540.540541||
"11140100000123"|"1114016200108440000"|"서울특별시 중구 신당동 844"|"남산타운"|35|3116|"2002-05-25"|0|41|0|1|53187907.620834|49277540.526321|49176783.533926
"11140100000127"|"1114016200108430000"|"서울특별시 중구 신당동 843"|"삼성"|14|994|"1999-12-22"|0|17|0|1|49532033.326151|45688988.970956|44034936.914937
"11140100000132"|"1114016200108420000"|"서울특별시 중구 신당동 842"|"약수하이츠"|16|1598|"1999-07-29"|0|19|0|1|55909629.84384|48885196.421226|50100555.914674
"11140100000135"|"1114016200108400000"|"서울특별시 중구 신당동 840"|"현대"|10|942|"1993-09-17"|0|16|0|1|37657467.623874|36201852.07529|32600000
"11140100000146"|"1114017100102000000"|"서울특별시 중구 중림동 200"|"삼성사이버빌리지"|12|712|"2001-07-11"|0|7|0|1|64882173.382173|54735415.818749|59807692.307692
"11140100052444"|"1114012900100420000"|"서울특별시 중구 남산동2가 42"|"남산퍼시픽"|1|14|"2003-03-21"|0|1|0|1|33684210.526316||
"11140100248255"|"1114016200104320922"|"서울특별시 중구 신당동 432-922"|"푸른마을(B)"|1|19|"2001-02-13"|0|1|0|1|12777777.777778||
"11140120029571"|"1114016200108500000"|"서울특별시 중구 신당동 850"|"신당푸르지오"|9|461|"2005-12-28"|0|5|0|1|44680219.78022|44070240.146327|
"11140120034402"|"1114017100103550000"|"서울특별시 중구 중림동 355"|"브라운스톤서울"|1|110|"2006-03-20"|0|2|0|1|42986111.111111|39230769.230769|
"11140120064716"|"1114016200108450000"|"서울특별시 중구 신당동 845"|"한진해모로"|3|254|"2001-06-18"|0|10|0|1|43549145.299145|38812576.312576|46111111.111111
"11140120069188"|"1114016200102900042"|"서울특별시 중구 신당동 290-42"|"삼성V아파트A동"|1|19|"2007-04-25"|0|1|0|1|32000000||
"11140120092128"|"1114016500125450000"|"서울특별시 중구 황학동 2545"|"롯데캐슬"|6|1870|"2008-12-22"|0|13|0|1|44633464.825773|40617616.314034|39705860.805861
"11140120126759"|"1114016500125230000"|"서울특별시 중구 황학동 2523"|"황학아크로타워"|3|263|"2010-03-31"|0|6|0|1|35816368.816369|40190542.917448|
